Date,Distance (miles),Distance (km),Time (hours)
2025-04-19,16.362507982614794,26.332838596741293,6.725
2025-04-20,17.20479423186878,27.688363549115707,7.916666666666667
2025-04-21,16.90166630117039,27.200527645125558,10.004166666666666
2025-04-22,19.624326430618503,31.58221349785158,8.604166666666666
2025-04-23,24.003483384207534,38.629765949540555,9.516666666666667
2025-04-24,18.703944943216126,30.10100675491544,8.966666666666667
2025-04-25,23.790973779525107,38.28776574234094,9.8625
2025-04-26,11.10314746539987,17.868739341966627,5.058333333333334
2025-04-27,23.652409375676203,38.06476850465074,10.954166666666667
2025-04-28,11.202750606925289,18.029034661749144,8.05
2025-04-29,18.14917026565003,29.20818567532122,8.270833333333334
2025-04-30,24.620807588532497,39.62325048452889,10.283333333333333
2025-05-01,20.45653828427512,32.92152532241532,7.766666666666667
2025-05-02,22.32957540130755,35.9358788763403,11.666666666666666
2025-05-03,30.537746745861522,49.14561734798478,13.0
2025-05-04,5.698497070543894,9.17081927550911,0.0
2025-05-05,13.43559073102715,21.62243358707123,5.85
2025-05-06,22.956438944850703,36.94471545150603,8.7125
2025-05-07,25.731467474788456,41.410679865876055,10.029166666666667
2025-05-08,19.41167932744999,31.239992008838364,9.654166666666667
2025-05-09,18.47037275460266,29.725109688892246,7.575
2025-05-10,26.888247877444464,43.272332839086474,10.320833333333333
2025-05-11,22.26639713217296,35.83420356069123,10.616666666666667
2025-05-12,24.231585248420828,38.99685940369358,8.770833333333334
2025-05-13,9.702774392854371,15.615062941396253,3.2
2025-05-20,16.564501826916086,26.657915370129132,7.170833333333333
2025-05-21,27.730595900341473,44.627957206255545,10.0
2025-05-23,17.282838405160465,27.81396315896094,8.616666666666667
2025-05-24,11.656787332146235,18.75973412511622,6.145833333333333
2025-05-25,15.988670235946119,25.731206557517528,10.2625
2025-05-26,15.005059360931433,24.148242231921394,8.6
2025-05-27,8.411119298587687,13.536350731989108,4.670833333333333
2025-05-28,10.012922777593516,16.11419714289235,6.433333333333334
2025-05-29,23.36167246013328,37.5968739569909,10.583333333333334
2025-05-30,24.344297674417227,39.17825201934662,10.833333333333334
2025-05-31,7.029139342812822,11.312275109962387,20.083333333333332
2025-06-01,7.392758300017451,11.897461642550084,3.216666666666667
2025-06-02,11.351493385273427,18.268412364655937,5.0625
2025-06-03,13.805678408156117,22.218030489381967,9.341666666666667
2025-06-04,21.33718624369295,34.338787309424816,10.1125
2025-06-05,12.486201982487684,20.09454429849673,7.920833333333333
2025-06-06,18.89819518428639,30.41362143787946,8.229166666666666
2025-06-07,18.729882223676736,30.142748657851918,9.491666666666667
2025-06-08,10.368784411685041,16.686899505101206,4.595833333333333
2025-06-09,15.40621883551092,24.793844220741143,6.558333333333334
2025-06-10,17.67538679345009,28.445706982170968,8.3625
2025-06-11,22.31599451172986,35.91402260750733,11.5
2025-06-12,18.004046498311368,28.974632191592416,5.9875
2025-06-13,18.959344000030104,30.512030673008447,9.7
2025-06-14,23.804724429699515,38.30989521369262,12.575
2025-06-15,32.173260643409094,51.77771528386399,11.883333333333333
2025-06-16,22.58889467394335,36.35321175456399,11.0
2025-06-17,14.264887415562804,22.957053913361843,9.383333333333333
2025-06-29,10.42692579610342,16.78046876070108,6.0
2025-06-30,10.555565540573593,16.987493847066705,20.516666666666666
2025-07-01,19.091957617146686,30.72545107157885,11.0
2025-07-02,12.895918645254563,20.753917712553978,21.8125
2025-07-03,12.309782932571812,19.81062606470512,9.2875
2025-07-04,8.09166773365553,13.022244550481192,6.325
2025-07-05,8.715452402312007,14.026126169136806,3.2916666666666665
2025-07-06,23.86492037964508,38.406770963778015,9.783333333333333
2025-07-07,27.6705320786851,44.53129409551108,10.891666666666667
2025-07-08,17.524756219580564,28.203291174419785,7.0
2025-07-09,24.26712900716907,39.05406139639747,8.8
2025-07-10,19.02621864076884,30.619654707334924,7.575
2025-07-11,16.01398653303752,25.771949087078603,8.191666666666666
2025-07-12,19.22704641377984,30.942854875552445,7.991666666666666
2025-07-13,19.674858549308233,31.66353685774371,8.470833333333333
2025-07-14,22.675337475569712,36.49232761293336,8.2
2025-07-15,9.036048659325282,14.54207454939855,2.85
2025-07-16,24.644383450820822,39.66119206274398,9.183333333333334
2025-07-17,19.46195241656443,31.3208985020738,8.491666666666667
2025-07-18,35.8319598865689,57.665806323850795,12.0
2025-07-19,10.566589912140046,17.005235809203462,9.116666666666667
2025-07-20,20.930820051272224,33.684805941314444,8.708333333333334
2025-07-21,22.7641485915618,36.635254894344065,9.0375
2025-07-22,19.41458786152938,31.244672829073693,7.6875
2025-07-23,18.1489622969603,29.207850982990088,6.545833333333333
2025-07-24,25.688085129720577,41.34086292266451,10.304166666666667
2025-07-25,20.279123033955948,32.63600386346666,7.858333333333333
2025-07-26,27.204558289278694,43.781383837267775,10.0
2025-07-27,21.714037649483117,34.94526935081916,6.995833333333334
2025-07-28,8.932828828821405,14.37595874737544,5.683333333333334
2025-07-29,16.2334868664268,26.12519975361531,6.2125
2025-07-30,23.437087717464493,37.71824274722431,8.0
2025-07-31,20.0418092884156,32.25408536021876,8.241666666666667
2025-08-01,27.8656278301833,44.84526949222719,0.0
2025-08-02,22.2383557016458,35.789075364886656,9.483333333333333
2025-08-03,11.580588005090451,18.637103500112268,4.6875
2025-08-04,7.521435173499564,12.104546482119789,7.204166666666667
2025-08-05,8.222262446202974,13.232415845172294,7.466666666666667
2025-08-06,7.3752176326729035,11.86923274496581,8.216666666666667
2025-08-07,7.811280510949532,12.571006177491519,6.933333333333334
